chrom	start	end	pas	score	strand	polyAsite_exon_idx	nr_polyAsites_on_exon	exon	gene	M323K_WT_1	M323K_HOM_1	M323K_WT_2	M323K_HOM_2	M323K_WT_3	M323K_HOM_3	M323K_WT_4	M323K_HOM_4	M323K_WT_1	M323K_HOM_5
chr15	5119047	5119071	chr15:+:5119068:TE	6	+	2	2	ENSMUST00000045356:4:4:5118566:5119140	ENSMUST00000045356	1.168766	1.488829	0.946898	2.3847	3.112246	0.938493	2.028066	0.960895	1.168766	2.29573
chr9	80144150	80144204	chr9:+:80144168:TE	9	+	1	2	ENSMUST00000037484:23:23:80143649:80144953	ENSMUST00000037484	93.227479	99.503094	97.788747	113.718083	108.813269	106.802731	119.051021	121.038946	93.227479	102.713246
chr9	80144931	80144970	chr9:+:80144952:TE	3	+	2	2	ENSMUST00000037484:23:23:80143649:80144953	ENSMUST00000037484	8.613896	8.470205	6.913826	7.735733	9.532614	8.622751	6.933037	6.485511	8.613896	9.760122
chr2	30071368	30071379	chr2:+:30071369:TE	2	+	1	2	ENSMUST00000102866:8:8:30070918:30072577	ENSMUST00000102866	156.649129	98.994806	148.990528	101.704107	129.164748	86.183429	142.322949	118.312539	156.649129	132.43359
chr2	30072539	30072591	chr2:+:30072582:TE	9	+	2	2	ENSMUST00000102866:8:8:30070918:30072577	ENSMUST00000102866	102.487877	103.305773	97.194573	107.156388	96.144468	98.993586	104.196329	104.591807	102.487877	101.482613
chr5	102912352	102912392	chr5:-:102912369:TE	6	-	1	3	ENSMUST00000238446:14:14:102907949:102913327	ENSMUST00000238446	314.174833	343.312608	298.503845	385.326127	387.20696	405.513549	430.666637	440.218609	314.174833	335.109127
chr5	102908581	102908586	chr5:-:102908582:TE	2	-	2	3	ENSMUST00000238446:14:14:102907949:102913327	ENSMUST00000238446	188.113777	170.608434	166.542785	164.296553	163.046881	163.859812	169.653551	173.527029	188.113777	179.646354
chr5	102907946	102907976	chr5:-:102907957:TE	2	-	3	3	ENSMUST00000238446:14:14:102907949:102913327	ENSMUST00000238446	18.060653	22.9659	21.556103	25.650064	19.134873	15.631146	27.927839	24.930467	18.060653	22.554354
chr12	40203106	40203164	chr12:-:40203130:TE	9	-	1	2	ENSMUST00000001672:12:12:40201566:40203451	ENSMUST00000001672	72.870708	57.982781	66.763663	53.213057	60.279639	61.090214	64.481311	59.055956	72.870708	70.350852
chr12	40201545	40201591	chr12:-:40201567:TE	7	-	2	2	ENSMUST00000001672:12:12:40201566:40203451	ENSMUST00000001672	0.41643	0.343284	0.224652	0.243425	0.435279	0.481184	0.498121	0.31889	0.41643	0.219989
chr2	28214108	28214113	chr2:+:28214109:TE	1	+	1	2	ENSMUST00000152415:4:4:28214100:28214425	ENSMUST00000152415	143.74439	157.419494	133.804466	155.860704	148.158156	181.485486	148.745158	183.448531	143.74439	152.494005
chr2	28214359	28214395	chr2:+:28214370:TE	2	+	2	2	ENSMUST00000152415:4:4:28214100:28214425	ENSMUST00000152415	177.079524	165.631762	190.259328	159.059692	178.751754	150.827429	199.44172	160.589796	177.079524	178.692341
chr5	114805788	114805844	chr5:+:114805818:TE	9	+	1	2	ENSMUST00000131803:4:4:114804228:114806200	ENSMUST00000131803	111.456084	100.557603	100.077259	112.177829	123.0099	120.426493	133.641404	145.21548	111.456084	107.640137
chr5	114806186	114806217	chr5:+:114806190:TE	8	+	2	2	ENSMUST00000131803:4:4:114804228:114806200	ENSMUST00000131803	0.784546	0.489322	1.190446	0.921998	1.627944	1.173576	1.738342	1.235436	0.784546	0.522747
chr14	26665009	26665040	chr14:-:26665021:TE	9	-	1	2	ENSMUST00000052932:3:3:26659957:26665967	ENSMUST00000052932	9.039529	8.538482	7.648669	8.224737	7.898141	8.20952	9.121213	8.886692	9.039529	7.697449
chr14	26659959	26659985	chr14:-:26659960:TE	9	-	2	2	ENSMUST00000052932:3:3:26659957:26665967	ENSMUST00000052932	2.210992	1.949702	2.173037	2.093883	1.989226	1.897189	2.510939	2.2977	2.210992	2.459089
chr19	3260924	3260949	chr19:-:3260925:TE	6	-	1	2	ENSMUST00000025751:15:15:3259075:3261635	ENSMUST00000025751	1.743946	4.19717	1.427696	3.386403	4.886009	5.406896	4.927844	7.127516	1.743946	2.936096
chr19	3260447	3260454	chr19:-:3260448:TE	1	-	2	2	ENSMUST00000025751:15:15:3259075:3261635	ENSMUST00000025751	0.473948	0.443804	0.644563	0.501929	0.18717	0.398538	0.543867	0.52374	0.473948	0.627296
chr7	126572082	126572106	chr7:-:126572086:TE	7	-	1	2	ENSMUST00000116269:17:17:126571399:126572386	ENSMUST00000116269	37.885958	33.742367	23.368017	32.707224	30.763357	37.747262	37.638665	41.709167	37.885958	22.769987
chr7	126571392	126571415	chr7:-:126571411:TE	6	-	2	2	ENSMUST00000116269:17:17:126571399:126572386	ENSMUST00000116269	3.331443	4.513902	3.432768	3.847402	2.918547	3.840292	3.48685	4.933297	3.331443	5.244895
chr1	12860359	12860393	chr1:+:12860371:TE	9	+	1	2	ENSMUST00000185780:4:4:12858811:12861192	ENSMUST00000185780	18.741666	16.993514	22.219562	19.469663	19.966257	19.43287	21.630161	17.993018	18.741666	16.838987
chr1	12861160	12861202	chr1:+:12861191:TE	9	+	2	2	ENSMUST00000185780:4:4:12858811:12861192	ENSMUST00000185780	6.402904	3.770436	6.498114	3.080507	5.064473	4.448201	6.694142	5.304984	6.402904	4.902931
chr7	3641198	3641235	chr7:+:3641227:TE	9	+	1	2	ENSMUST00000179769:14:14:3640796:3642485	ENSMUST00000179769	57.412169	58.0833	59.795249	57.032454	61.433129	53.642876	64.549929	63.691482	57.412169	49.599976
chr7	3642083	3642085	chr7:+:3642084:TE	1	+	2	2	ENSMUST00000179769:14:14:3640796:3642485	ENSMUST00000179769	10.109364	8.972803	8.060181	8.198887	8.907989	7.689767	7.779335	9.195023	10.109364	8.756012
chr15	103530818	103530859	chr15:-:103530840:TE	6	-	1	2	ENSMUST00000023133:7:7:103530278:103530949	ENSMUST00000023133	33.631926	29.124152	26.089037	33.614142	27.960159	39.185305	28.458999	37.384085	33.631926	23.220856
chr15	103530269	103530306	chr15:-:103530281:TE	6	-	2	2	ENSMUST00000023133:7:7:103530278:103530949	ENSMUST00000023133	12.858725	11.590108	11.136025	7.067931	7.347513	11.485981	9.02718	8.054621	12.858725	9.720916
chr4	132553448	132553491	chr4:+:132553471:TE	9	+	1	2	ENSMUST00000094657:9:9:132553016:132553742	ENSMUST00000094657	367.880542	428.917435	331.588589	450.477762	428.943705	442.318644	425.179677	500.915478	367.880542	425.958195
chr4	132553708	132553752	chr4:+:132553735:TE	9	+	2	2	ENSMUST00000094657:9:9:132553016:132553742	ENSMUST00000094657	246.68781	274.777158	263.000416	269.270736	268.097161	270.330122	299.309984	296.707397	246.68781	287.780922
chr11	24173166	24173203	chr11:+:24173193:TE	8	+	1	2	ENSMUST00000118955:5:5:24172698:24173558	ENSMUST00000118955	16.585891	20.634981	19.345275	20.854814	14.394683	23.227248	23.289718	21.103782	16.585891	23.504011
chr11	24173514	24173516	chr11:+:24173516:TE	2	+	2	2	ENSMUST00000118955:5:5:24172698:24173558	ENSMUST00000118955	0.584383	0.0	0.0	0.0	0.0	0.062444	0.0	0.0	0.584383	0.204743
chr14	65321478	65321518	chr14:+:65321501:TE	7	+	1	2	ENSMUST00000226005:9:9:65321233:65323973	ENSMUST00000226005	4.102184	5.600653	2.645436	2.740143	4.598725	5.645652	7.573479	6.299668	4.102184	4.669873
chr14	65323969	65323971	chr14:+:65323971:TE	1	+	2	2	ENSMUST00000226005:9:9:65321233:65323973	ENSMUST00000226005	1.766953	1.858666	1.744728	2.145584	1.029435	1.79985	1.453701	1.731722	1.766953	1.877533
chr5	108504337	108504370	chr5:+:108504362:TE	9	+	1	2	ENSMUST00000046975:11:11:108500356:108506976	ENSMUST00000046975	13.424702	11.944771	12.030435	12.278942	11.619778	11.877173	12.191268	12.643685	13.424702	12.521968
chr5	108506949	108506984	chr5:+:108506975:TE	9	+	2	2	ENSMUST00000046975:11:11:108500356:108506976	ENSMUST00000046975	1.362026	0.802261	1.259731	0.650569	0.972849	0.617091	1.163978	0.914434	1.362026	1.126084
chr17	49993235	49993278	chr17:-:49993260:TE	8	-	1	2	ENSMUST00000044503:10:10:49992256:49994481	ENSMUST00000044503	35.424187	28.784661	32.150444	33.844642	44.766289	33.365178	46.686177	42.327941	35.424187	29.354421
chr17	49992293	49992294	chr17:-:49992294:TE	1	-	2	2	ENSMUST00000044503:10:10:49992256:49994481	ENSMUST00000044503	0.586684	0.974851	0.923803	0.999549	1.416834	0.896252	1.308839	1.33047	0.586684	0.92352
chr13	63312129	63312142	chr13:-:63312136:TE	8	-	1	2	ENSMUST00000163091:16:16:63311754:63312803	ENSMUST00000163091	6.269462	8.840041	6.233571	7.656028	10.844981	7.91383	6.358673	9.594164	6.269462	5.800313
chr13	63311751	63311762	chr13:-:63311754:TE	6	-	2	2	ENSMUST00000163091:16:16:63311754:63312803	ENSMUST00000163091	4.69807	6.613436	6.98521	6.402283	3.806517	7.100225	8.305412	7.009252	4.69807	6.168414
chr9	65554371	65554412	chr9:-:65554386:TE	9	-	1	2	ENSMUST00000213554:6:6:65552918:65557079	ENSMUST00000213554	37.0623	36.788303	30.970496	36.722654	43.236282	38.930021	46.627724	41.506429	37.0623	37.147707
chr9	65552910	65552925	chr9:-:65552919:TE	6	-	2	2	ENSMUST00000213554:6:6:65552918:65557079	ENSMUST00000213554	1.536881	0.754846	1.433994	1.475627	1.216605	1.054198	1.260552	1.053816	1.536881	1.298155
chr2	32964019	32964065	chr2:+:32964043:TE	9	+	1	2	ENSMUST00000126610:7:7:32963990:32964496	ENSMUST00000126610	461.140231	388.711463	473.119408	432.79824	423.974993	422.891284	451.402212	453.565543	461.140231	460.274355
chr2	32964463	32964500	chr2:+:32964489:TE	9	+	2	2	ENSMUST00000126610:7:7:32963990:32964496	ENSMUST00000126610	3.013943	1.904184	3.79809	0.896147	1.179607	2.244303	2.256795	1.233324	3.013943	3.232319
chr8	8666561	8666602	chr8:-:8666577:TE	9	-	1	3	ENSMUST00000048545:4:4:8665074:8667416	ENSMUST00000048545	126.992847	119.495129	115.091157	120.430571	104.390833	121.396209	117.216105	122.821353	126.992847	131.035242
chr8	8666290	8666325	chr8:-:8666301:TE	8	-	2	3	ENSMUST00000048545:4:4:8665074:8667416	ENSMUST00000048545	7.44513	16.09832	10.888278	11.951504	8.638116	6.637406	12.364085	16.787148	7.44513	12.332472
chr8	8665067	8665098	chr8:-:8665075:TE	8	-	3	3	ENSMUST00000048545:4:4:8665074:8667416	ENSMUST00000048545	10.882406	6.749991	7.932108	7.022693	8.383477	7.212256	9.230495	7.39361	10.882406	7.516666
chr19	18580988	18581013	chr19:-:18580995:TE	6	-	1	2	ENSMUST00000025631:10:10:18579327:18581328	ENSMUST00000025631	35.205619	35.722415	35.887647	39.744997	50.35745	39.234893	48.254243	40.902438	35.205619	39.77451
chr19	18580340	18580374	chr19:-:18580362:TE	9	-	2	2	ENSMUST00000025631:10:10:18579327:18581328	ENSMUST00000025631	6.419009	4.384934	4.738689	4.689694	7.219105	4.602474	5.54033	5.91531	6.419009	4.761354
chr4	55391175	55391230	chr4:+:55391205:TE	9	+	1	2	ENSMUST00000030134:10:10:55389883:55392237	ENSMUST00000030134	72.801686	57.846226	66.576803	60.336998	63.72705	56.495087	65.264073	59.015831	72.801686	67.181699
chr4	55392203	55392243	chr4:+:55392231:TE	9	+	2	2	ENSMUST00000030134:10:10:55389883:55392237	ENSMUST00000030134	13.13251	10.617153	12.479739	9.52372	9.410736	9.572263	12.323422	9.765225	13.13251	10.958083
chr4	43515648	43515703	chr4:-:43515683:TE	8	-	1	2	ENSMUST00000107913:9:9:43514711:43516003	ENSMUST00000107913	598.923456	139.525096	10.986957	12.780871	16.577608	749.766081	57.296671	74.880098	598.923456	72.694501
chr4	43514677	43514737	chr4:-:43514712:TE	9	-	2	2	ENSMUST00000107913:9:9:43514711:43516003	ENSMUST00000107913	274.326361	55.392028	13.487524	13.02645	14.882196	183.814272	27.38143	29.967244	274.326361	29.672425
chr1	33740688	33740716	chr1:+:33740709:TE	9	+	1	2	ENSMUST00000088287:8:8:33739252:33742564	ENSMUST00000088287	46.023605	57.829156	53.941697	49.86543	54.795121	55.525372	53.093136	61.400117	46.023605	56.761609
chr1	33742415	33742416	chr1:+:33742416:TE	1	+	2	2	ENSMUST00000088287:8:8:33739252:33742564	ENSMUST00000088287	29.315775	24.088686	24.699133	26.511744	25.903465	25.008732	31.678998	27.401339	29.315775	24.945921
chr8	25676869	25676884	chr8:+:25676884:TE	3	+	1	2	ENSMUST00000141781:2:2:25676702:25677950	ENSMUST00000141781	23.761837	17.972158	17.749615	19.825106	22.660635	20.566041	25.325408	21.553608	23.761837	3.672298
chr8	25677910	25677991	chr8:+:25677971:TE	6	+	2	2	ENSMUST00000141781:2:2:25676702:25677950	ENSMUST00000141781	19.112082	19.899102	17.690827	19.926353	16.941066	19.258395	18.481322	19.382619	19.112082	17.708054
chr16	35106426	35106448	chr16:+:35106434:TE	2	+	1	2	ENSMUST00000061156:7:7:35106314:35109177	ENSMUST00000061156	50.335154	46.785269	39.679438	47.232997	40.796542	43.795125	46.437116	55.440458	50.335154	44.980199
chr16	35109142	35109209	chr16:+:35109173:TE	9	+	2	2	ENSMUST00000061156:7:7:35106314:35109177	ENSMUST00000061156	16.187867	13.371013	15.824325	13.879513	16.303382	13.928635	16.964084	15.602396	16.187867	14.30802
chr4	108639184	108639192	chr4:-:108639192:TE	1	-	1	2	ENSMUST00000106657:19:19:108637465:108639420	ENSMUST00000106657	35.143499	53.548536	34.865165	51.509085	58.423173	66.445686	51.583524	76.402746	35.143499	43.185434
chr4	108637450	108637477	chr4:-:108637451:TE	6	-	2	2	ENSMUST00000106657:19:19:108637465:108639420	ENSMUST00000106657	58.834014	54.263553	54.048774	55.214309	52.842894	52.715402	59.408605	56.11414	58.834014	60.588553
chr8	119324444	119324487	chr8:+:119324469:TE	8	+	1	2	ENSMUST00000117160:14:14:119323394:119324921	ENSMUST00000117160	16.779152	13.699124	14.203471	11.742546	11.957119	14.900187	11.670273	13.262459	16.779152	12.380391
chr8	119324902	119324949	chr8:+:119324921:TE	6	+	2	2	ENSMUST00000117160:14:14:119323394:119324921	ENSMUST00000117160	9.607807	8.959527	8.06438	8.866689	7.7175	8.868853	11.34497	8.362952	9.607807	11.306581
chr1	58434325	58434351	chr1:-:58434328:TE	9	-	1	2	ENSMUST00000114345:6:6:58433786:58434449	ENSMUST00000114345	24.873085	22.751584	27.802271	25.193373	24.151466	19.552248	28.250601	22.315988	24.873085	29.289077
chr1	58433766	58433789	chr1:-:58433785:TE	5	-	2	2	ENSMUST00000114345:6:6:58433786:58434449	ENSMUST00000114345	0.618894	0.513978	0.730644	0.142177	0.544099	0.729123	0.731934	0.872197	0.618894	0.551062
chr4	147910049	147910087	chr4:-:147910062:TE	9	-	1	2	ENSMUST00000019199:19:19:147909752:147910874	ENSMUST00000019199	21.380592	26.8122	18.446666	25.682377	27.903573	35.122787	29.262092	38.889838	21.380592	23.37768
chr4	147909751	147909782	chr4:-:147909757:TE	7	-	2	2	ENSMUST00000019199:19:19:147909752:147910874	ENSMUST00000019199	1.88429	3.195767	2.496368	2.921096	2.019695	2.725487	3.011601	2.958711	1.88429	2.753134
chr12	110449574	110449575	chr12:+:110449575:TE	1	+	1	2	ENSMUST00000222276:3:3:110449529:110450999	ENSMUST00000222276	21.649776	16.291773	22.114584	17.705373	22.760749	16.736768	18.115355	20.983407	21.649776	23.048785
chr12	110450965	110451020	chr12:+:110450996:TE	9	+	2	2	ENSMUST00000222276:3:3:110449529:110450999	ENSMUST00000222276	11.519706	8.379168	10.951265	8.201041	10.498934	8.747638	10.92055	9.127444	11.519706	8.945508
chr17	33746581	33746642	chr17:-:33746598:TE	9	-	1	2	ENSMUST00000057373:5:5:33742483:33747813	ENSMUST00000057373	157.96284	183.512883	135.538697	189.505006	197.816983	242.386533	222.146908	237.093911	157.96284	168.04355
chr17	33743193	33743210	chr17:-:33743194:TE	1	-	2	2	ENSMUST00000057373:5:5:33742483:33747813	ENSMUST00000057373	6.692795	4.316656	6.340648	4.952507	6.006853	4.260869	6.978783	4.344089	6.692795	4.506515
chr12	17284390	17284443	chr12:+:17284430:TE	6	+	1	2	ENSMUST00000057288:13:13:17283937:17284770	ENSMUST00000057288	51.612054	64.732771	48.944763	70.414347	68.380185	87.276195	65.586835	90.117143	51.612054	59.99175
chr12	17284755	17284792	chr12:+:17284792:TE	7	+	2	2	ENSMUST00000057288:13:13:17283937:17284770	ENSMUST00000057288	20.925049	22.730722	20.644898	25.318317	20.651821	21.22721	21.958006	20.679299	20.925049	18.119717
chr6	4540990	4541033	chr6:+:4541009:TE	8	+	1	2	ENSMUST00000031668:52:52:4540515:4541544	ENSMUST00000031668	17.103553	14.562076	15.14617	8.026551	11.813477	11.774325	7.428617	9.710316	17.103553	11.143223
chr6	4541518	4541555	chr6:+:4541555:TE	6	+	2	2	ENSMUST00000031668:52:52:4540515:4541544	ENSMUST00000031668	7.378409	9.661268	5.555415	5.01067	4.605254	6.198463	3.944308	3.533136	7.378409	5.684873
chrX	140948938	140948947	chrX:-:140948942:TE	7	-	1	2	ENSMUST00000112978:5:5:140948428:140949309	ENSMUST00000112978	32.472363	21.241893	33.355587	27.164467	21.618141	23.555996	23.462536	30.336819	32.472363	25.65163
chrX	140948404	140948454	chrX:-:140948429:TE	9	-	2	2	ENSMUST00000112978:5:5:140948428:140949309	ENSMUST00000112978	15.021402	14.533627	13.145297	12.397423	18.693065	11.618215	14.854693	12.561323	15.021402	15.477667
chr7	100160909	100160943	chr7:+:100160928:TE	7	+	1	2	ENSMUST00000032967:2:2:100160173:100161365	ENSMUST00000032967	4.734882	4.491143	4.902455	3.793547	4.041567	3.843965	3.931601	4.515149	4.734882	4.737394
chr7	100161344	100161370	chr7:+:100161365:TE	8	+	2	2	ENSMUST00000032967:2:2:100160173:100161365	ENSMUST00000032967	0.660307	0.821227	0.323331	0.665648	0.306872	0.415067	0.551492	0.553306	0.660307	0.446513
chr17	79849056	79849062	chr17:-:79849061:TE	3	-	1	2	ENSMUST00000068282:13:13:79848389:79850278	ENSMUST00000068282	237.342285	192.633621	176.165033	194.629848	166.128657	194.958649	187.669789	204.934559	237.342285	213.807869
chr17	79848380	79848410	chr17:-:79848391:TE	7	-	2	2	ENSMUST00000068282:13:13:79848389:79850278	ENSMUST00000068282	38.530159	22.118121	28.904536	21.602321	32.69382	16.786356	35.442864	21.274843	38.530159	23.05532
chr3	30820074	30820110	chr3:+:30820110:TE	9	+	1	3	ENSMUST00000029256:8:8:30818499:30821263	ENSMUST00000029256	148.757659	161.607182	149.297063	154.925781	164.835878	164.493433	163.790458	183.243681	148.757659	165.928602
chr3	30820378	30820379	chr3:+:30820379:TE	1	+	2	3	ENSMUST00000029256:8:8:30818499:30821263	ENSMUST00000029256	36.887445	17.355764	26.223408	29.650414	33.04422	18.217053	30.634468	18.989814	36.887445	28.080225
chr3	30821249	30821280	chr3:+:30821280:TE	9	+	3	3	ENSMUST00000029256:8:8:30818499:30821263	ENSMUST00000029256	23.078523	18.307856	24.3863	19.20685	22.181828	16.49434	25.299994	18.991926	23.078523	19.263226
chr11	45947850	45947879	chr11:-:45947862:TE	9	-	1	2	ENSMUST00000011398:6:6:45946842:45948328	ENSMUST00000011398	6.490331	6.793612	8.914699	6.42598	5.562868	5.788905	7.36254	6.738934	6.490331	3.630913
chr11	45946820	45946862	chr11:-:45946845:TE	9	-	2	2	ENSMUST00000011398:6:6:45946842:45948328	ENSMUST00000011398	5.119102	5.420476	4.157114	5.956364	5.134118	4.47024	5.065082	5.425359	5.119102	5.543296
chr9	20595166	20595210	chr9:+:20595186:TE	9	+	1	2	ENSMUST00000115557:6:6:20593160:20605409	ENSMUST00000115557	12.085683	13.287563	13.852846	11.253543	11.260673	12.374887	14.176129	14.68585	12.085683	14.06625
chr9	20605382	20605415	chr9:+:20605403:TE	6	+	2	2	ENSMUST00000115557:6:6:20593160:20605409	ENSMUST00000115557	3.00474	2.989038	2.760911	2.944792	2.557265	2.787931	3.090386	3.283937	3.00474	2.844615
chr19	46330532	46330561	chr19:-:46330541:TE	4	-	1	2	ENSMUST00000167861:10:10:46329811:46330834	ENSMUST00000167861	630.013086	635.583982	542.564199	620.523876	650.389819	731.176202	726.347451	741.244753	630.013086	626.255233
chr19	46329811	46329834	chr19:-:46329812:TE	3	-	2	2	ENSMUST00000167861:10:10:46329811:46330834	ENSMUST00000167861	0.25538	0.259834	0.4703	0.771204	0.450514	0.194678	1.562983	0.175284	0.25538	1.065097
chr12	105660959	105660960	chr12:-:105660960:TE	1	-	1	2	ENSMUST00000221568:11:11:105659263:105661261	ENSMUST00000221568	13.70539	13.862232	13.122202	12.509441	11.826536	12.771589	13.179886	14.100866	13.70539	14.974523
chr12	105660272	105660278	chr12:-:105660273:TE	2	-	2	2	ENSMUST00000221568:11:11:105659263:105661261	ENSMUST00000221568	0.140344	0.045518	0.052489	0.051701	0.080527	0.056934	0.094033	0.17106	0.140344	0.060987
chrX	72958106	72958142	chrX:+:72958131:TE	9	+	1	2	ENSMUST00000033715:8:8:72957281:72958514	ENSMUST00000033715	42.186004	41.336344	41.726502	36.929457	41.51693	33.082345	45.91358	36.359834	42.186004	41.458191
chrX	72958505	72958544	chrX:+:72958523:TE	7	+	2	2	ENSMUST00000033715:8:8:72957281:72958514	ENSMUST00000033715	1.385033	0.777605	1.255532	0.428686	0.735622	0.765855	0.444751	0.635669	1.385033	0.267908
chr14	28525485	28525516	chr14:+:28525508:TE	8	+	1	2	ENSMUST00000063465:5:5:28522481:28527448	ENSMUST00000063465	9.761955	10.543186	11.11293	9.624967	9.954835	9.017616	11.909168	8.495999	9.761955	11.729135
chr14	28527423	28527450	chr14:+:28527447:TE	6	+	2	2	ENSMUST00000063465:5:5:28522481:28527448	ENSMUST00000063465	1.750848	1.680385	1.694339	2.091729	1.939169	2.176349	1.852707	2.342049	1.750848	1.770805
chr14	52074790	52074819	chr14:-:52074800:TE	5	-	1	3	ENSMUST00000164655:8:8:52073379:52075160	ENSMUST00000164655	432.963312	479.755733	552.014284	489.86947	432.60658	581.208293	476.023643	616.695902	432.963312	531.905938
chr14	52074441	52074464	chr14:-:52074442:TE	9	-	2	3	ENSMUST00000164655:8:8:52073379:52075160	ENSMUST00000164655	595.898009	512.390487	580.349841	521.081679	533.613117	460.355713	642.693548	502.801366	595.898009	510.582218
chr14	52073354	52073413	chr14:-:52073377:TE	9	-	3	3	ENSMUST00000164655:8:8:52073379:52075160	ENSMUST00000164655	156.041739	112.906349	130.298214	125.288293	124.690078	109.952468	143.659745	124.635438	156.041739	141.997681
chr14	101934053	101934091	chr14:+:101934066:TE	1	+	1	2	ENSMUST00000100337:31:31:101933895:101934710	ENSMUST00000100337	4.872925	9.695407	3.172423	12.427582	9.86125	10.117728	5.100662	12.096714	4.872925	6.558296
chr14	101934664	101934724	chr14:+:101934687:TE	8	+	2	2	ENSMUST00000100337:31:31:101933895:101934710	ENSMUST00000100337	15.04901	10.122141	7.999294	8.810679	8.248541	11.462106	11.990494	6.67769	15.04901	8.886699
chr9	21800177	21800188	chr9:-:21800182:TE	6	-	1	2	ENSMUST00000217336:50:50:21799859:21800399	ENSMUST00000217336	9.801068	13.371013	7.480705	5.618155	8.061371	12.810157	12.455577	7.771632	9.801068	8.200593
chr9	21799857	21799869	chr9:-:21799860:TE	5	-	2	2	ENSMUST00000217336:50:50:21799859:21800399	ENSMUST00000217336	0.565977	3.55612	1.948385	2.998647	1.188312	3.544603	1.720552	2.637709	0.565977	3.776847
chr5	143247924	143247990	chr5:+:143247972:TE	9	+	1	2	ENSMUST00000032591:5:5:143244061:143248834	ENSMUST00000032591	23.61229	25.327164	22.433716	22.593253	22.395115	27.668102	26.558005	28.518511	23.61229	24.368721
chr5	143248716	143248756	chr5:+:143248726:TE	6	+	2	2	ENSMUST00000032591:5:5:143244061:143248834	ENSMUST00000032591	0.439438	0.37363	0.799929	0.62041	0.951085	0.325075	1.240221	0.447714	0.439438	0.0697
chr1	58995108	58995140	chr1:+:58995134:TE	9	+	1	2	ENSMUST00000027185:12:12:58994292:58995715	ENSMUST00000027185	46.219166	45.245231	38.022892	42.989222	34.909391	51.420612	43.786398	45.263421	46.219166	48.134106
chr1	58995709	58995719	chr1:+:58995715:TE	6	+	2	2	ENSMUST00000027185:12:12:58994292:58995715	ENSMUST00000027185	1.40574	0.642947	0.831423	1.105105	0.250286	1.177249	1.207182	0.994684	1.40574	1.160934
chr13	85212882	85212918	chr13:+:85212907:TE	9	+	1	2	ENSMUST00000022030:9:9:85212739:85213723	ENSMUST00000022030	108.59859	107.584497	106.720242	108.933604	102.421194	93.627094	125.798533	101.533839	108.59859	110.595835
chr13	85213701	85213748	chr13:+:85213723:TE	9	+	2	2	ENSMUST00000022030:9:9:85212739:85213723	ENSMUST00000022030	44.339478	28.483102	36.48182	34.182851	39.044544	30.380733	39.181317	35.572112	44.339478	37.831634
chr1	16643245	16643271	chr1:-:16643246:TE	4	-	1	3	ENSMUST00000188641:4:4:16641724:16643478	ENSMUST00000188641	460.077299	501.291598	532.488448	435.516841	439.018242	397.985401	446.192269	442.389598	460.077299	486.0937
chr1	16642753	16642789	chr1:-:16642766:TE	9	-	2	3	ENSMUST00000188641:4:4:16641724:16643478	ENSMUST00000188641	320.034767	203.973378	268.998836	232.500691	277.094382	207.897366	295.314846	240.246913	320.034767	293.31115
chr1	16641705	16641753	chr1:-:16641733:TE	9	-	3	3	ENSMUST00000188641:4:4:16641724:16643478	ENSMUST00000188641	77.481351	61.887875	68.896808	64.746646	66.336549	60.377621	74.004071	67.374559	77.481351	70.577376
chr10	80796328	80796353	chr10:-:80796335:TE	4	-	1	2	ENSMUST00000219959:3:3:80796099:80796522	ENSMUST00000219959	64.599619	81.618179	60.309639	43.937071	52.429379	56.484068	84.429041	62.905871	64.599619	42.444876
chr10	80796077	80796121	chr10:-:80796100:TE	9	-	2	2	ENSMUST00000219959:3:3:80796099:80796522	ENSMUST00000219959	62.133247	62.887382	62.503671	86.984456	77.762628	87.911652	83.450588	98.687056	62.133247	70.710241
chr2	84687772	84687790	chr2:+:84687781:TE	9	+	1	2	ENSMUST00000102645:5:5:84686865:84688215	ENSMUST00000102645	31.395626	21.558624	27.562922	23.026248	22.449524	25.543177	28.702977	27.610413	31.395626	26.812564
chr2	84688199	84688239	chr2:+:84688214:TE	9	+	2	2	ENSMUST00000102645:5:5:84686865:84688215	ENSMUST00000102645	15.594281	13.513258	16.546571	15.28836	16.701663	14.222488	16.275355	13.813654	15.594281	17.472818
chr19	4131715	4131742	chr19:+:4131742:TE	9	+	1	2	ENSMUST00000139987:7:7:4131361:4132305	ENSMUST00000139987	286.897495	303.975278	214.433572	312.899756	304.229687	361.553131	383.179908	323.715931	286.897495	266.274241
chr19	4132288	4132316	chr19:+:4132309:TE	8	+	2	2	ENSMUST00000139987:7:7:4131361:4132305	ENSMUST00000139987	41.314031	55.704967	31.398804	44.589793	37.438363	56.86975	53.812363	60.671527	41.314031	47.715908
chr10	20340644	20340681	chr10:+:20340663:TE	2	+	1	2	ENSMUST00000043881:13:13:20340051:20342499	ENSMUST00000043881	112.744488	96.876307	90.13168	96.962712	85.001321	88.75648	108.102516	113.835403	112.744488	116.012801
chr10	20342475	20342527	chr10:+:20342499:TE	9	+	2	2	ENSMUST00000043881:13:13:20340051:20342499	ENSMUST00000043881	68.830643	59.452644	59.925421	60.520105	56.877932	54.307719	63.792581	60.149898	68.830643	72.977656
